person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,dti_ratio,income_per_emp_year,rate_tier,risk_score,risk_tier
22,59000,RENT,123.0,PERSONAL,D,35000,16.02,1,0.59,Y,3,0.593,476.0,Very High (>16%),65,High Risk
21,9600,OWN,5.0,EDUCATION,B,1000,11.14,0,0.1,N,2,0.104,1600.0,Medium (8-12%),5,Low Risk
25,9600,MORTGAGE,1.0,MEDICAL,C,5500,12.87,1,0.57,N,3,0.573,4800.0,High (12-16%),47,Medium Risk
23,65500,RENT,4.0,MEDICAL,C,35000,15.23,1,0.53,N,2,0.534,13100.0,High (12-16%),42,Medium Risk
24,54400,RENT,8.0,MEDICAL,C,35000,14.27,1,0.55,Y,4,0.643,6044.0,High (12-16%),57,High Risk
21,9900,OWN,2.0,VENTURE,A,2500,7.14,1,0.25,N,2,0.253,3300.0,Low (<8%),13,Low Risk
26,77100,RENT,8.0,EDUCATION,B,35000,12.42,1,0.45,N,3,0.454,8567.0,High (12-16%),20,Low Risk
24,78956,RENT,5.0,MEDICAL,B,35000,11.11,1,0.44,N,4,0.443,13159.0,Medium (8-12%),20,Low Risk
24,83000,RENT,8.0,PERSONAL,A,35000,8.9,1,0.42,N,2,0.422,9222.0,Medium (8-12%),15,Low Risk
21,10000,OWN,6.0,VENTURE,D,1600,14.74,1,0.16,N,3,0.16,1429.0,High (12-16%),20,Low Risk
22,85000,RENT,6.0,VENTURE,B,35000,10.37,1,0.41,N,4,0.412,12143.0,Medium (8-12%),20,Low Risk
21,10000,OWN,2.0,HOMEIMPROVEMENT,A,4500,8.63,1,0.45,N,2,0.45,3333.0,Medium (8-12%),20,Low Risk
23,95000,RENT,2.0,VENTURE,A,35000,7.9,1,0.37,N,2,0.368,31667.0,Low (<8%),20,Low Risk
26,108160,RENT,4.0,EDUCATION,E,35000,18.39,1,0.32,N,4,0.324,21632.0,Very High (>16%),48,Medium Risk
23,115000,RENT,2.0,EDUCATION,A,35000,7.9,0,0.3,N,4,0.304,38333.0,Low (<8%),20,Low Risk
23,500000,MORTGAGE,7.0,DEBTCONSOLIDATION,B,30000,10.65,0,0.06,N,3,0.06,62500.0,Medium (8-12%),5,Low Risk
23,120000,RENT,0.0,EDUCATION,A,35000,7.9,0,0.29,N,4,0.292,120000.0,Low (<8%),18,Low Risk
23,92111,RENT,7.0,MEDICAL,F,35000,20.25,1,0.32,N,4,0.38,11514.0,Very High (>16%),47,Medium Risk
23,113000,RENT,8.0,DEBTCONSOLIDATION,D,35000,18.25,1,0.31,N,4,0.31,12556.0,Very High (>16%),35,Medium Risk
24,10800,MORTGAGE,8.0,EDUCATION,B,1750,10.99,1,0.16,N,2,0.162,1200.0,Medium (8-12%),5,Low Risk
25,162500,RENT,2.0,VENTURE,A,35000,7.49,0,0.22,N,4,0.215,54167.0,Low (<8%),13,Low Risk
25,137000,RENT,9.0,PERSONAL,E,34800,16.77,0,0.25,Y,2,0.254,13700.0,Very High (>16%),56,High Risk
22,65000,RENT,4.0,EDUCATION,D,34000,17.58,1,0.52,N,4,0.523,13000.0,Very High (>16%),50,Medium Risk
24,10980,OWN,0.0,PERSONAL,A,1500,7.29,0,0.14,N,3,0.137,10980.0,Low (<8%),10,Low Risk
22,80000,RENT,3.0,PERSONAL,D,33950,14.54,1,0.42,Y,4,0.424,20000.0,High (12-16%),60,High Risk
24,67746,RENT,8.0,HOMEIMPROVEMENT,C,33000,12.68,1,0.49,N,3,0.487,7527.0,High (12-16%),27,Low Risk
21,11000,MORTGAGE,3.0,VENTURE,E,4575,17.74,1,0.42,Y,3,0.416,2750.0,Very High (>16%),68,High Risk
23,11000,OWN,0.0,PERSONAL,A,1400,9.32,0,0.13,N,3,0.127,11000.0,Medium (8-12%),10,Low Risk
24,65000,RENT,6.0,HOMEIMPROVEMENT,B,32500,9.99,1,0.5,N,3,0.5,9286.0,Medium (8-12%),20,Low Risk
21,11389,OTHER,5.0,EDUCATION,C,4000,12.84,1,0.35,Y,2,0.351,1898.0,High (12-16%),47,Medium Risk
21,11520,OWN,5.0,MEDICAL,B,2000,11.12,1,0.17,N,3,0.174,1920.0,Medium (8-12%),5,Low Risk
25,120000,RENT,2.0,VENTURE,A,32000,6.62,0,0.27,N,2,0.267,40000.0,Low (<8%),13,Low Risk
26,95000,RENT,7.0,HOMEIMPROVEMENT,C,31050,14.17,1,0.33,Y,3,0.327,11875.0,High (12-16%),47,Medium Risk
25,306000,RENT,2.0,DEBTCONSOLIDATION,C,24250,13.85,0,0.08,N,3,0.079,102000.0,High (12-16%),17,Low Risk
26,300000,MORTGAGE,10.0,MEDICAL,C,7800,13.49,0,0.03,N,4,0.026,27273.0,High (12-16%),12,Low Risk
21,12000,OWN,5.0,EDUCATION,A,2500,7.51,1,0.21,N,4,0.208,2000.0,Low (<8%),8,Low Risk
22,48000,RENT,1.0,EDUCATION,E,30000,18.39,1,0.63,N,2,0.625,24000.0,Very High (>16%),63,High Risk
24,64000,RENT,8.0,DEBTCONSOLIDATION,D,30000,14.54,1,0.47,Y,3,0.469,7111.0,High (12-16%),55,Medium Risk
25,75000,RENT,4.0,HOMEIMPROVEMENT,D,30000,16.89,1,0.4,Y,4,0.4,15000.0,Very High (>16%),60,High Risk
23,71500,RENT,3.0,DEBTCONSOLIDATION,D,30000,15.31,1,0.42,N,4,0.42,17875.0,High (12-16%),40,Medium Risk
26,62050,RENT,6.0,MEDICAL,E,30000,17.99,1,0.41,N,2,0.483,8864.0,Very High (>16%),43,Medium Risk
24,12000,OWN,4.0,VENTURE,B,2500,12.69,1,0.21,N,3,0.208,2400.0,High (12-16%),18,Low Risk
26,300000,MORTGAGE,10.0,VENTURE,A,20000,7.88,0,0.07,N,4,0.067,27273.0,Low (<8%),0,
23,300000,OWN,1.0,EDUCATION,F,24250,19.41,0,0.08,Y,2,0.081,150000.0,Very High (>16%),62,High Risk
26,300000,OWN,9.0,HOMEIMPROVEMENT,B,10000,10.38,0,0.03,N,4,0.033,30000.0,Medium (8-12%),5,Low Risk
26,300000,MORTGAGE,0.0,EDUCATION,D,25000,15.33,0,0.08,N,3,0.083,300000.0,High (12-16%),30,Low Risk
25,300000,MORTGAGE,9.0,HOMEIMPROVEMENT,E,18000,16.45,0,0.06,N,3,0.06,30000.0,Very High (>16%),28,Low Risk
26,80690,RENT,8.0,PERSONAL,A,30000,7.49,1,0.37,N,3,0.372,8966.0,Low (<8%),15,Low Risk
22,66300,RENT,4.0,MEDICAL,B,30000,12.69,1,0.38,N,3,0.452,13260.0,High (12-16%),25,Low Risk
26,89028,RENT,0.0,DEBTCONSOLIDATION,A,30000,6.62,1,0.34,N,3,0.337,89028.0,Low (<8%),25,Low Risk
24,78000,RENT,4.0,DEBTCONSOLIDATION,D,30000,15.31,1,0.38,Y,4,0.385,15600.0,High (12-16%),60,High Risk
23,78000,RENT,7.0,DEBTCONSOLIDATION,F,30000,18.62,1,0.38,Y,3,0.385,9750.0,Very High (>16%),67,High Risk
